,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
106,6,@CBS,New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:… https://t.co/Op9VcDsREa,0.0,0.0,0.0,1.0
107,7,@CBS,Clear your schedules for the 100th #PGAChamp! Stream the Final Round LIVE on @cbsallaccess at 2 PM ET across all de… https://t.co/m6bH2pKTUN,0.4389,0.126,0.0,0.874
108,8,@CBS,The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p,-0.3182,0.0,0.103,0.897
109,9,@CBS,The 100th PGA Championship continues today! Stream it LIVE on @cbsallaccess at 2PM ET across all devices. Try 1 Wee… https://t.co/jbMg06eOND,0.4926,0.144,0.0,0.856
110,10,@CBS,"To celebrate the 100th PGA Championship, relive some of the tournament's greatest moments with Luke Wilson. 

Don't… https://t.co/wUuB93smr4",0.8957,0.419,0.0,0.581
111,11,@CBS,"RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…",0.0,0.0,0.0,1.0
112,12,@CBS,Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT,0.6696,0.255,0.0,0.745
113,13,@CBS,Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD,0.7901,0.28,0.0,0.72
114,14,@CBS,"Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u",0.6696,0.209,0.0,0.791
115,15,@CBS,The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs,0.0,0.0,0.0,1.0
116,16,@CBS,"RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…",0.3612,0.111,0.0,0.889
117,17,@CBS,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,0.5411,0.219,0.098,0.683
118,18,@CBS,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,0.3818,0.106,0.0,0.894
119,19,@CBS,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,0.5093,0.155,0.0,0.845
120,20,@CBS,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",0.0,0.0,0.0,1.0
121,21,@CBS,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",0.8316,0.306,0.0,0.694
122,22,@CBS,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",0.0,0.0,0.0,1.0
123,23,@CBS,"RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",0.5994,0.157,0.0,0.843
124,24,@CBS,RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,0.0,0.0,0.0,1.0
125,25,@CBS,RT @happytogether: Thanks for following along! That concludes the #HappyTogether panel at the #CBS #TCA2018! @MagnumPICBS is up next!,0.5826,0.173,0.0,0.827
126,26,@CBS,"RT @happytogether: Question: Even though you're not playing @Harry_Styles, did you do a Harry crash course?
@itsfelixwot: Absolutely not. C…",-0.5093,0.0,0.202,0.798
127,27,@CBS,"RT @happytogether: ""The show is about marriage, it's about getting a bit older, it's about youthfulness, it's about something happening and…",0.0,0.0,0.0,1.0
128,28,@CBS,"RT @happytogether: ""It's always good to have a little bit of truth in whatever you're making.""- @wayansjr 

#HappyTogether #CBS #TCA2018",0.6041,0.225,0.0,0.775
129,29,@CBS,"RT @happytogether: ""I thought I was still young and cool until I met @itsfelixwot!"" -@AmberoniStevens #HappyTogether #CBS #TCA2018",0.3802,0.147,0.0,0.853
130,30,@CBS,"RT @happytogether: ""We never wanted to create a show where people think ""Oh, did @Harry_Styles do that?"" -@benwinston on emphasizing that #…",-0.2057,0.0,0.083,0.917
131,31,@CBS,RT @happytogether: .@wayansjr is quick to point out that the characters in #HappyTogether are fictional. #CBS #TCA2018,0.0,0.0,0.0,1.0
132,32,@CBS,"RT @happytogether: ""@Harry_Styles became part of the family. We didn't want him to move out."" -@benwinston #CBS #HappyTogether #TCA18",-0.0572,0.0,0.064,0.936
133,33,@CBS,"RT @happytogether: ""It's about Cooper who wants nothing but normality and a boring life, and Jake and Claire, who want more excitement."" -@…",-0.3612,0.059,0.121,0.82
134,34,@CBS,"RT @happytogether: ""It's loosely inspired (by the time @Harry_Styles lived with @benwinston), because if we put what actually happened on t…",0.4939,0.138,0.0,0.862
135,35,@CBS,RT @happytogether: It's time for the #HappyTogether panel at the #CBS #TCA18! Follow along here!,0.0,0.0,0.0,1.0
136,36,@CBS,RT @GodFriendedMe: Thanks for following along during the #GodFriendedMe panel at #CBS #TCA18—@HappyTogether is up next!,0.4926,0.175,0.0,0.825
137,37,@CBS,"RT @GodFriendedMe: ""You don't have to believe in God to believe in good."" 🙌@JOEtheMORTON #GodFriendedMe #CBS",0.2732,0.123,0.0,0.877
138,38,@CBS,RT @GodFriendedMe: “It’s incredibly important to us that we’re not a show that’s preachy or judgmental. Whether you believe or don’t believ…,0.2716,0.095,0.0,0.905
139,39,@CBS,"RT @GodFriendedMe: ""Our feet are on the ground. Our characters are not angels, they’re not heavenly, they’re just real people. The 'opposin…",-0.4973,0.0,0.133,0.867
140,40,@CBS,RT @GodFriendedMe: Follow along with us as we live-tweet the #GodFriendedMe panel at #CBS #TCA18 with stars @hall_m_brandon @violettbeane @…,0.0,0.0,0.0,1.0
141,41,@CBS,"RT @cbsallaccess: From the writer of Scream, The Vampire Diaries and The Following, comes a modern day twist on classic fairy tales. 

#Tel…",-0.4019,0.0,0.114,0.886
142,42,@CBS,"RT @cbsallaccess: Small town. Big murder. Follow the Money. 

#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/T…",-0.6908,0.0,0.207,0.793
143,43,@CBS,RT @cbsallaccess: That's a wrap on the #TellMeAStory panel! @GodFriendedMe is up next! #TCA18 #CBSAllAccess,0.0,0.0,0.0,1.0
